firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
002c97de570d4b298c6f0230cb45010b,ARG1,Leverage Shares,2024-12-06,Equities (Stocks)
00db75aebc0e464fb1a87b87e32c60d7,P500,Invesco,2024-12-06,Equities (Stocks)
00ed20632757416ab6c62812baa048e7,OP5E,OSSIAM ETF,2024-12-10,Equities (Stocks)
011a684019cf4ab0b3ea739af034dff0,AAPY,Leverage Shares,2024-12-06,Equities (Stocks)
02aea14f1cf14fd297cc98705e2e2068,SC01,Invesco,2024-12-06,Equities (Stocks)
0320fbfa6c954fabb51cc3433a8bcf3b,3SSM,Leverage Shares,2024-12-06,Equities (Stocks)
049e74f41b274a92b3cd041a118aaf94,ABCH,21Shares,2024-11-27,Other Asset Types
04aa40176d0d4a49aa8044e3c4d35032,USLG,21Shares,2024-11-27,Other Asset Types
04d92f0144d14d4f872f1626b0e2890b,SCO3,Leverage Shares,2024-12-06,Equities (Stocks)
04ffa48473d646899006a351a8f1cc65,TLT5,Leverage Shares,2024-12-06,Bonds
052b1dbc8dad4b7399b2f83cd40a7a8c,EUPA,OSSIAM ETF,2024-12-11,Equities (Stocks)
05463da1e8764aabab9ee234d5c8162f,PPAS,Leverage Shares,2024-12-06,Equities (Stocks)
0550404c342e4c1aa3535270c4aa1651,IGOG,Leverage Shares,2024-12-06,Equities (Stocks)
0590fcc3abda4f9aaa62b61a8bb4e0d1,H4Z7,HSBC,2024-12-11,Equities (Stocks)
05bb7e3c480344a9a393985094276e0e,H4ZY,HSBC,2024-12-11,Equities (Stocks)
060d31fc905c43eabaa83ba13a34f6f2,E500,Invesco,2024-12-06,Equities (Stocks)
08d9c99004784ba585306ecb08093f09,CZX,Expat Capital,2024-11-29,Equities (Stocks)
096872b7e7324f8f943546cc04f7444f,FB3,Leverage Shares,2024-12-06,Equities (Stocks)
0018e0c0a29541afa42b441ed4761a6a,GREN,Goldman Sachs,2024-12-06,Bonds
0032460d45024e62bb6a078013aa40d6,SPXE,Invesco,2024-12-06,Equities (Stocks)
004e03267ed14700948045bbbbb7c0c5,3PYE,Leverage Shares,2024-12-06,Equities (Stocks)
008613cfe4074ef59d69bae9ea9d2f76,AAPS,Leverage Shares,2024-12-06,Equities (Stocks)
0125ca95ea8844f5958ddc0fbb1a2aa9,5SPE,Leverage Shares,2024-12-06,Equities (Stocks)
017022ef1a8a448aa9f57bc6646fed45,DISS,Leverage Shares,2024-12-06,Equities (Stocks)
02bc4fa9eb3241dab8c407be83298a11,BTCU,21Shares,2024-11-27,Other Asset Types
034f037e6f3847168f6ae901644dd47a,BIUS,Leverage Shares,2024-12-06,Equities (Stocks)
037e797b04534cf2a90caf05633e9226,HWSC,HSBC,2024-12-11,Equities (Stocks)
03addfac55aa41bc8020db74a65bb887,WTI2,Leverage Shares,2024-12-06,Commodities & Metals
03d92ae6f4ff49068ceb6126cba74f97,NGLS,Leverage Shares,2024-12-06,Commodities & Metals
046c6bad0dd846a4b7228fc662852137,WTI,Leverage Shares,2024-12-06,Commodities & Metals
057542e07e45434c8992a69bc13a15c3,3ADE,Leverage Shares,2024-12-06,Equities (Stocks)
059110442c4b45739ce4888f9ce914b6,SMST,Leverage Shares,2024-12-06,Equities (Stocks)
05d08a87ab9340f284a31cc37b16303b,SX5S,Invesco,2024-12-06,Equities (Stocks)
05dd9ceefb85417ba762c2cce2eba35b,CAPU,OSSIAM ETF,2024-12-11,Equities (Stocks)
069ba8506d0f41dc869d5cc8d142ff41,3TSE,Leverage Shares,2024-12-06,Equities (Stocks)
06e8126dc02d4502bc89e23a8e0cf7a4,5QQQ,Leverage Shares,2024-12-06,Equities (Stocks)
0726f574e0f44f71bb1bfa8860e864b2,XLVS,Invesco,2024-12-06,Equities (Stocks)
07c65c0a5d024b8f81ec6f35bc4cf40c,SMSF,Leverage Shares,2024-12-06,Equities (Stocks)
07d426fa0be3481a9456287730d30b83,KRON,Leverage Shares,2024-12-06,Equities (Stocks)
083e47286d33461ca7cb34ecd7d6ffc4,XLE3,Leverage Shares,2024-12-06,Equities (Stocks)
08a719c1b92f41809eb6af6bc26f69bc,3JPE,Leverage Shares,2024-12-06,Equities (Stocks)
09d8675e39c7425cbc767e115d25f3ec,VPCG,Leverage Shares,2024-12-06,Equities (Stocks)
0a003bf8194544f5ade4b4607658d676,3GOO,Leverage Shares,2024-12-06,Equities (Stocks)
036e8d3b923340df9eda82f1a3214d2c,HMJD,HSBC,2024-12-11,Equities (Stocks)
081d2b14b6c44d99bad17e5bef562692,X7PS,Invesco,2024-12-06,Equities (Stocks)
098506c10425415bacccb2a176a78cab,HIDD,HSBC,2024-12-11,Equities (Stocks)
059a3c11ce56449f9412532b00ab8aec,MLPS,Invesco,2024-12-06,Other Asset Types
075dc94135124874acd7c7e7bbb8072a,ASOLCHF,21Shares,2024-11-27,Other Asset Types
07b00968832c4f4185cc6049bdb82c28,MSAU,Invesco,2024-12-06,Equities (Stocks)
0a8c47f663b24f269d4bcd430ee1985b,SX5E,Invesco,2024-12-06,Equities (Stocks)
