ticker,cusip,sedol,descr1,price,quantity,marketvalue,percentmv,netassets
SMG,810186106,2781518,Scotts Miracle-Gro Company Class A,62.340000000000003,23865.0,1487744.1000000001,6.3300000000000001,23515733.830000006
AFCG,00109K105,BMPRJ46,AFC GAMMA INC,15.91,92271.0,1468031.6100000001,6.2400000000000002,23515733.830000006
OGI,68620P101,BQHRJB9,Organigram Holdings Inc,0.96489999999999998,1504417.0,1451611.96,6.1699999999999999,23515733.830000006
CRDL CN,14161Y200,BHZT969,CARDIOL THERAPEUTICS INC A,0.70248860324340479,1954926.0,1373313.24,5.8399999999999999,23515733.830000006
FAF CN,318108305,BNYGZ54,Fire & Flower Holdings Corp,0.92668709364023605,1422568.0,1318275.4099999999,5.6100000000000003,23515733.830000006
TLRY,88688T100,BDD1B29,Tilray Inc-Class 2 Common,3.0499999999999998,411222.0,1254227.1000000001,5.3300000000000001,23515733.830000006
VFF,92707Y108,B5NTJ67,Village Farms International,1.6100000000000001,759476.0,1222756.3600000001,5.2000000000000002,23515733.830000006
CRON,22717L101,BF01YT4,Cronos Group Inc,2.5,470351.0,1175877.5,5.0,23515733.830000006
CGC,138035100,BYTWP54,Canopy Growth Corp,2.6099999999999999,441521.0,1152369.8100000001,4.9000000000000004,23515733.830000006
MAPS,92971A109,BNM4710,WM Technology Inc,1.1599999999999999,963810.0,1118019.6000000001,4.75,23515733.830000006
GRWG,39986L109,BZ159N4,Growgeneration Corp.,4.2699999999999996,241556.0,1031444.12,4.3899999999999997,23515733.830000006
WAT,941848103,2937689,Waters Corporation,338.75,2988.0,1012185.0,4.2999999999999998,23515733.830000006
PKI,714046109,2305844,PerkinElmer Inc.,137.81999999999999,7233.0,996852.06000000006,4.2400000000000002,23515733.830000006
CWEB CN,16106R109,BGHY2B1,Charlottes Web Holdings Inc,0.56049622599207827,1765679.0,989656.42000000004,4.21,23515733.830000006
HITI CN,42981E401,BMCPKP1,HIGH TIDE INC,1.5021298856587697,628196.0,943631.98999999999,4.0099999999999998,23515733.830000006
ACB,05156X884,BLB8BB7,Aurora Cannabis Inc,0.96830000000000005,932814.0,903243.80000000005,3.8399999999999999,23515733.830000006
NOVC CN,66980W104,BL66YN9,NOVA CANNABIS INC,0.59786264105821685,1450431.0,867158.51000000001,3.6899999999999999,23515733.830000006
AMRS,03236M200,BF0FLW8,Amyris Inc,1.5700000000000001,549482.0,862686.73999999999,3.6699999999999999,23515733.830000006
LFLY,52178J105,BPLFH30,,0.64410000000000001,1252411.0,806677.93000000005,3.4300000000000002,23515733.830000006
HYFM,44888K209,BKWFTW7,Hydrofarm Holdings Group Inc,1.71,442476.0,756633.95999999996,3.2200000000000002,23515733.830000006
GNLN,395330202,BK11NT1,Greenlane Holdings Inc - A,0.42299999999999999,1180893.0,499517.73999999999,2.1200000000000001,23515733.830000006
YCBD,12482W101,BJHG360,Cbdmd Inc,0.30030000000000001,1435356.0,431037.40999999997,1.8300000000000001,23515733.830000006
AGFY,00853E206,BQPDVZ7,Agrify Corp,0.59119999999999995,664380.0,392781.46000000002,1.6699999999999999,23515733.830000006
