firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
008b088e65bd428c9ac3e6372c3f81d1,UIMF,UBS,2024-10-31,Equities (Stocks)
014875b56e4f4a9bb5fc112f0a095205,USUE,UBS,2024-10-31,Equities (Stocks)
02a4d520462a4660be11617f07daa68e,VJPA,Vanguard,2024-07-31,Equities (Stocks)
034ed95ee1a24e10854dc84562dba236,AW1H,UBS,2024-10-31,Equities (Stocks)
0644f200aae848cea63aab57cf1ce02e,VNRA,Vanguard,2024-07-31,Equities (Stocks)
065e394471774194a0add1ec2f28e4c0,V3ML,Vanguard,2024-07-31,Equities (Stocks)
084e0da618534e699ac90ee4d7b308dd,AW1T,UBS,2024-10-31,Equities (Stocks)
08582257e0fd4df8b98c3c2d0f9be5f8,CNUA,UBS,2024-10-31,Equities (Stocks)
0190ec509d054e74bedf5069cdf30c71,UC65,UBS,2024-10-31,Equities (Stocks)
023b1240f0074aa5b0ddfc15e1f63494,VHYL,Vanguard,2024-07-31,Equities (Stocks)
032e64f431764b03a2b5cdb7eed2aaee,VHVG,Vanguard,2024-07-31,Equities (Stocks)
03e59e15dff54948ac9bea903a4c7bed,T10G,UBS,2024-10-31,Bonds
041da0ea0d204b9f9cdb6c096e683066,UD02,UBS,2024-10-31,Equities (Stocks)
05e2de195bd94ca38691c4de321c080a,USFM,UBS,2024-10-31,Equities (Stocks)
0664d0f3bd3042f4a2733bc699b97df6,VFEM,Vanguard,2024-07-31,Equities (Stocks)
07b1529d965c403e8889181ffcde64c0,UC76,UBS,2024-10-31,Bonds
001e6befa2344fe29ca41fb6422deff0,WDESGE,UBS,2024-10-31,Equities (Stocks)
029508e07818446eb79f8c88b252166f,UQLTD,UBS,2024-10-31,Equities (Stocks)
06af11b71cf4458db20530e6faee2970,100EUA,UBS,2024-10-31,Equities (Stocks)
001f3bf6d27f431fb766e1baa157ec2a,VJPA,Vanguard,2024-07-31,Equities (Stocks)
0071e669a20f4cb591349f41d54fa55f,BCCMS,UBS,2024-10-31,Commodities & Metals
0074968f9f914cab9ba428879cbabeb7,GENDEG,UBS,2024-10-31,Equities (Stocks)
00ae4a1b113845a2a78d0fd2dd198f38,S2HGBA,UBS,2024-10-31,Equities (Stocks)
01318fb338014b17a41958d42b580db6,SPICHA,UBS,2024-10-31,Equities (Stocks)
0202b88e8a4b4e27b5d7f1d9dee0c7c4,V3RF,Vanguard,2024-07-31,Bonds
032a719bf9f14db98bc1303325197f5d,CBEU5,UBS,2024-10-31,Bonds
0339146d18e44487b4d4cf2bb152c38b,E50EUA,UBS,2024-10-31,Equities (Stocks)
0369031b2e2b40d1908e1ee42db0527e,MDBUA,UBS,2024-10-31,Bonds
050e6a63a8fe4bbba1cfd4e0d1bc2b9c,EMUSRI,UBS,2024-10-31,Equities (Stocks)
05973fdf9d6a4eb2894700e3fe64475a,CBSUST,UBS,2024-10-31,Bonds
06589972b3b34108a0a1c8282124bb8b,V3AA,Vanguard,2024-07-31,Equities (Stocks)
0718763a7d3049ab8215800ba6f58094,PXJSRI,UBS,2024-10-31,Equities (Stocks)
0856abc34585436aaaa0ddc8266639c7,TIP1S,UBS,2024-10-31,Bonds
09576a86c0f3419b904ed71183df2359,PACUA,UBS,2024-10-31,Equities (Stocks)
09b07b4f7391402291ff6e12c3c7d405,JPNJPA,UBS,2024-10-31,Equities (Stocks)
09c15520c3f742fcad34e15302e12955,AWESGW,UBS,2024-10-31,Equities (Stocks)
0a0db7b2e4c64cd4a744b7f988b08c7e,PSRUSA,UBS,2024-10-31,Equities (Stocks)
0aa849d5a61a46f3aef22993d0e99f42,AWESGJ,UBS,2024-10-31,Equities (Stocks)
01a3c1ed677d4a72ab2f22696054e817,JPSR,UBS,2024-10-31,Equities (Stocks)
01dd3b7406da483ebbf4a40b101a794e,V3RE,Vanguard,2024-07-31,Bonds
03f863707cf3471eaa277257ca04294b,UEF0,UBS,2024-10-31,Bonds
0b380f7166f74f86a54e5e32503de60b,UIM4,UBS,2024-10-31,Equities (Stocks)
0f46cf4c97124168b24a4bc75ed8007f,VUSC,Vanguard,2024-07-31,Bonds
0fb7b42f828b4aec9b39b189a48675c7,CSY9,UBS,2024-10-31,Equities (Stocks)
10162f2af7f440deafbfdb971d17ad44,VGWD,Vanguard,2024-07-31,Equities (Stocks)
12bda5f0b3b7482dbf0c2bf676b2eed8,SEAC,UBS,2024-10-31,Equities (Stocks)
